Discipline;2008_to_2018_growth_pct;2010_to_2020_growth_pct;2012_to_2022_growth_pct;2014_to_2024_growth_pct;2016_to_2026_growth_pct;2018_to_2028_growth_pct;2019_to_2029_growth_pct;2020_to_2030_growth_pct;2021_to_2031_growth_pct;2022_to_2032_growth_pct;2023_to_2033_growth_pct;2024_to_2034_growth_pct
Civil;24.2;19.4;19.7;8.4;10.6;6.3;1.7;8.2;6.9;5.0;6.5;5.0
Mechanical;6.0;8.8;4.5;5.3;8.8;4.1;3.9;7.0;2.2;10.0;11.0;9.0
Industrial;14.2;6.4;4.5;0.9;9.7;8.4;10.1;13.7;10.2;11.7;12.2;11.0
Eng. Managerstextsuperscripta;6.2;8.6;6.8;2.0;5.5;2.8;2.6;4.1;2.3;4.1;5.5;3.8
Electrical;1.7;6.9;4.8;1.0;8.6;4.8;4.7;6.8;1.6;4.1;9.1;7.1
Engineers, All Other;6.7;6.6;3.8;3.9;6.4;3.6;1.3;2.7;0.0;3.3;5.0;2.1
Electronics;0.3;4.9;3.4;-1.4;3.7;-0.9;1.4;6.2;5.9;7.2;9.0;6.2
Computer Hardware;3.7;9.0;7.3;3.1;5.4;6.2;1.5;1.7;4.8;4.5;7.3;7.3
Aerospace;10.5;4.9;7.3;-2.3;6.0;1.6;2.7;8.3;6.1;6.1;6.0;6.0
Sales Engineers;8.8;14.3;8.8;7.2;6.9;5.5;6.4;7.8;5.6;4.8;6.2;5.5
Environmental;30.6;22.0;15.4;12.5;8.4;5.2;3.2;3.8;4.1;6.1;7.0;4.1
Chemical;-2.2;6.0;4.5;1.7;7.3;6.2;4.3;9.1;14.1;8.2;9.8;2.3
Petroleum;18.3;16.9;25.7;9.7;15.1;2.4;3.0;7.7;7.9;2.3;2.4;1.0
Materials;9.0;8.5;0.9;1.2;1.9;0.0;1.5;8.4;5.9;5.4;7.6;5.7
Health & Safety;10.1;13.1;10.8;6.3;8.5;5.2;4.2;6.2;3.4;3.6;5.2;4.6
Biomedical;72.5;61.8;26.8;23.1;7.0;3.5;4.7;6.2;10.1;5.1;7.6;5.0
Nuclear;11.2;10.5;9.3;-3.6;4.0;-0.6;-12.8;-8.1;-10.8;0.7;-0.7;-0.6
Marine;5.9;18.6;11.0;8.4;12.2;8.5;1.7;4.1;3.9;1.2;8.9;5.9
Mining;15.5;9.4;12.7;6.0;8.2;3.4;4.8;4.8;2.7;1.3;2.8;0.0
Agricultural;11.1;7.4;3.8;3.4;7.4;7.7;0.0;0.0;0.0;6.2;5.3;5.9
